State,2024 Hotel,2024 Room,2023 Hotel,2023 Room,2022 Hotel,2022 Room,2021 Hotel,2021 Room,2020 Hotel,2020 Hotel
JOHOR,552,36043,548,35208,535,34294,567,35186,557,33497
KEDAH & LANGKAWI,328,18600,330,19029,312,17858,346,18548,366,19539
KELANTAN,170,6362,169,6269,158,6075,160,6096,154,5873
KUALA LUMPUR,464,63973,448,60872,423,55641,456,56334,472,60095
LABUAN,50,2296,49,2272,47,2284,47,2285,49,2282
MELAKA,354,20159,355,19961,350,19343,324,19581,327,20374
NEGERI SEMBILAN,166,10856,161,10643,161,11129,168,11096,182,12769
PAHANG,501,34323,503,33387,500,34183,486,33603,482,31175
PERAK,481,19299,487,19763,488,19976,457,18937,468,19116
PERLIS,44,1489,44,1444,41,1361,41,1297,45,1445
PULAU PINANG,376,26692,364,25543,362,24704,283,20558,310,22840
PUTRAJAYA,13,2580,12,2508,9,1937,9,1843,8,1551
SABAH,540,27208,532,26706,479,25344,587,1843,614,28232
SARAWAK,522,27913,503,26592,495,25610,574,28752,581,28511
SELANGOR,460,34883,444,32656,439,32241,428,30850,470,34610
TERENGGANU,256,11190,255,10927,253,10993,237,10562,254,10918
